date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:51	216774/216774	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2022:05:51%20GMT	https://smartsyncdev.surge.sh/walletpage/walletpage.html	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/smartsyncdev.surge.sh/walletpage/walletpage.html	(from )
23:05:53	26/26	---M--	200	added ('OK')	text/plain	date:Mon,%2030%20Oct%202023%2022:05:52%20GMT	https://smartsyncdev.surge.sh/robots.txt		(from )
23:05:55	11644/11644	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2030%20Oct%202023%2022:05:54%20GMT	https://kit.fontawesome.com/78d167673c.js	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/kit.fontawesome.com/78d167673c.js	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:05:58	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:05:59	19338/19338	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Oct%202023%2021:07:35%20GMT	https://cdn1.iconfinder.com/data/icons/mix-color-3/502/Untitled-39-512.png	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/cdn1.iconfinder.com/data/icons/mix-color-3/502/981081.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:01	2385/2385	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Jun%202018%2018:05:13%20GMT	https://ethereum-magicians.org/uploads/default/original/1X/e726391f66eb7da7a0ed7d780b4df5e8e2416a17.png	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/ethereum-magicians.org/uploads/default/original/1X/e726391f66eb7da7a0ed7d780b4df5e8e2416a17.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:02	34942/34942	---M--	200	added ('OK')	image/png	etag:%22cfzp266rJeWHcvqSNrSMCCnQWgZ9WuXpMWx4iYKHSwDQ%22	https://registry.walletconnect.org/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpeg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/registry.walletconnect.org/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:03	8739/8739	---M--	200	added ('OK')	image/png	etag:%22cfVAcZ3w6iX14DvHKhBFs4CgkyZ9WuXpMWx4iYKHSwDQ%22	https://registry.walletconnect.org/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpeg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/registry.walletconnect.org/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:29	7070/7070	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2018:27:28%20GMT	https://dvh1deh6tagwk.cloudfront.net/finder-au/wp-uploads/2017/09/Coinbaselogo_Supplied_250x250-2.png	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/dvh1deh6tagwk.cloudfront.net/finder-au/wp-uploads/2017/09/Coinbaselogo_Supplied_250x250-2.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:30	10892/10892	---M--	200	added ('OK')	image/jpeg	etag:%22cfD0ybXN65kUQvSy4as5DEz814Z9WuXpMWx4iYKHSwDQ%22	https://registry.walletconnect.org/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpeg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/registry.walletconnect.org/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:31	19485/19485	---M--	200	added ('OK')	image/png	etag:%22cfwRKJ_GQ6vp6Uxle7v9sGNjM5Z9WuXpMWx4iYKHSwDQ%22	https://registry.walletconnect.org/logo/lg/1ae92b26df02f0abca6304df07debccd18262fdf5fe82daa81593582dac9a369.jpeg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/registry.walletconnect.org/logo/lg/1ae92b26df02f0abca6304df07debccd18262fdf5fe82daa81593582dac9a369.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:31	9577/9577	---M--	200	added ('OK')	image/png	etag:%2211938b8163a7a117b340b0bbd2fe9290%22	https://58253638-files.gitbook.io/~/files/v0/b/gitbook-legacy-files/o/spaces%2F-MCCsloxVgbn9ByBE-nP%2Favatar-1606910015788.png?generation=1606910016108412&alt=media	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/58253638-files.gitbook.io/_/files/v0/b/gitbook-legacy-files/o/spaces/-MCCsloxVgbn9ByBE-nP/avatar-1606910015788d1a1.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:32	3894/3894	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Aug%202023%2022:32:10%20GMT	https://i.ibb.co/HVMHPGL/pillar.jpg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/i.ibb.co/HVMHPGL/pillar.jpg	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:32	4592/4592	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Aug%202023%2022:44:30%20GMT	https://i.ibb.co/5cnfpc4/imtoken.jpg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/i.ibb.co/5cnfpc4/imtoken.jpg	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:33	7828/7828	---M--	200	added ('OK')	image/jpeg	etag:%22cfKSMvuCg-JIsZmOE2lQgfwbCMZ9WuXpMWx4iYKHSwDQ%22	https://registry.walletconnect.org/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpeg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/registry.walletconnect.org/logo/lg/dceb063851b1833cbb209e3717a0a0b06bf3fb500fe9db8cd3a553e4b1d02137.jpg	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:33	3756/3756	---M--	200	added ('OK')	image/png	etag:%22cfAhEYLQm3xvaushkbIcu-Id43Z9WuXpMWx4iYKHSwDQ%22	https://registry.walletconnect.org/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.jpeg	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/registry.walletconnect.org/logo/lg/20459438007b75f4f4acb98bf29aa3b800550309646d375da5fd4aac6c2a2c66.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:35	222338/222338	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Nov%202020%2016:03:33%20GMT	https://cryptologos.cc/logos/aave-aave-logo.png?v=022	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/cryptologos.cc/logos/aave-aave-logo992f.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
23:06:35	5516/5516	---M--	200	added ('OK')	image/png	etag:%2289ccc94734126594ee791ed81d02409b%22	https://s2.coinmarketcap.com/static/img/coins/200x200/2772.png	C:/My%20Web%20Sites/SSyncDev%20Wallet%20Page/s2.coinmarketcap.com/static/img/coins/200x200/2772.png	(from https://smartsyncdev.surge.sh/walletpage/walletpage.html)
